maker,name,price
エイスース ASUS,G10CE-I7R2060SBY32 [ゲーミング デスクトップ/ROG Strix/Core i7-11700/GeForce RTX 2060 SUPER/メモリ 32GB/SSD 1TB/Windows 11 Home/グレー],"￥179,800"
デル DELL,AI779T-DNHBWC [一体型デスクトップ/Inspiron 27 7720 オールインワン/27.0型/Core i7-1355U/Iris Xe グラフィックス/メモリ 16GB/SSD 512GB＋HDD 1TB/Windows 11 Home/Office Home ＆ Business 2021/パールホワイト],"￥245,800"
デル DELL,DX80VR-CHLC [XPS 8950 デスクトップ/ゲーミングデスクトップ/第12世代インテル Core i7 12700/メモリ16GB DDR5/SSD 512GB+HDD 1TB/Windows 11 Home/NVIDIA GeForce GTX 1660Ti/ナイトスカイ],"￥229,800"
レノボ･ジャパン Lenovo,90VH004NJP [ゲーミングデスクトップパソコン/LOQ Tower 17IRB8/Core i7-13700F/GeForce RTX 3060（LHR）/メモリ 16GB/SSD 1TB/Windows 11 Home/ブラック],"￥236,500"
ミニズフォーラム MINISFORUM,NPB7-32/1T-W11Pro（13700H） [ミニパソコン/Core i7-13700H/メモリ 32GB/SSD 1TB/Windows 11 Pro],"￥142,480"
ミニズフォーラム MINISFORUM,NPB7-32/512-W11Pro（13700H） [ミニパソコン/Core i7-13700H/メモリ 32GB/SSD 512GB/Windows 11 Pro],"￥134,000"
ミニズフォーラム MINISFORUM,NAB6-32/512-W11Pro（12650H） [ミニパソコン/Core i7-12650H/メモリ 32GB/SSD 512GB/Windows 11 Pro],"￥108,880"
レノボ･ジャパン Lenovo,90VH004KJP [ゲーミングデスクトップパソコン/LOQ Tower 17IRB8/Core i5-13400F/GeForce GTX 1660 SUPER/メモリ 16GB/SSD 512GB/Windows 11 Home/ブラック],"￥157,300"
レノボ･ジャパン Lenovo,90SM0063JP [デスクトップPC/ IdeaCentre 370i / Pentium Gold G7400/HDD 1TB/メモリ 4GB/Windows 11 Home /Microsoft Office Home ＆ Business 2021/グレー],"￥104,280"
レノボ･ジャパン Lenovo,90VH004MJP [ゲーミングデスクトップパソコン/LOQ Tower 17IRB8/Core i7-13700F/GeForce RTX 3060（LHR）/メモリ 16GB/SSD 1TB/Windows 11 Home/Office Home ＆ Business 2021/ブラック],"￥258,500"
MSI エムエスアイ,Infinite X2 13FNUG-035JP [ハイエンドゲーミングデスクトップパソコン/Core i7-13700KF/メモリ 64GB/SSD 1TB/GeForce RTX 4080/Windows 11 Pro],"￥478,000"
ECS イーシーエス,LIVAQ3P-8/128-W10Pro（V1605B） [小型デスクトップパソコン/Ryzen Embedded V1605B/メモリ 8GB/eMMC 128GB/Windows 10 Pro],"￥88,680"
デル DELL,DX90VR-CHLC [XPS 8950 デスクトップ/ゲーミングデスクトップ/第12世代インテル Core i7 12700/メモリ16GB DDR5/SSD 512GB+HDD 1TB/Windows 11 Home/NVIDIA GeForce RTX 3060 LHR/ナイトスカイ],"￥222,000"
HP,613V6PA-AAAB [一体型デスクトップ HP 27-cb0000 AiO G1モデル/Ryzen 5/メモリ 8GB/SSD 256GB＋HDD 2TB/Windows 11 Home/Office Home ＆ Business 2019/スターリーホワイト],"￥180,400"
デル DELL,AI577T-DNHBBC [一体型デスクトップ/Inspiron 24 5420 オールインワン/23.8型/Core i7-1355U/Iris Xe グラフィックス/メモリ 16GB/SSD 512GB/Windows 11 Home/Office Home ＆ Business 2021/ダークシャドウグレー],"￥215,800"
ガレリア GALLERIA,XR747T-1100-R31 [ゲーミングデスクトップパソコン ガレリア/Core i7-13700F/RTX 4070Ti/メモリ 16GB/SSD 1TB/Windows 11 Home],"￥399,980"
デル DELL,AI557-DNHBBC [一体型デスクトップ/Inspiron 24 5420 オールインワン/23.8型/Core i5-1335U/UHD グラフィックス/メモリ 8GB/SSD 512GB/Windows 11 Home/Office Home ＆ Business 2021/ダークシャドウグレー],"￥179,800"
ストーム STORM,YDS-ME7AH16160T [ゲーミングデスクトップパソコン/Core i7-12700/メモリ 16GB/SSD 1TB/GeForce RTX 3060 Ti/Windows 11 Home],"￥258,800"
デル DELL,AI759-DNHBWC [一体型デスクトップ/Inspiron 27 7720 オールインワン/27.0型/Core i5-1335U/UHD グラフィックス/メモリ 8GB/SSD 512GB/Windows 11 Home/Office Home ＆ Business 2021/パールホワイト],"￥186,800"
ミニズフォーラム MINISFORUM,NAB0-32/512-W11Pro（1240P） [ミニパソコン/Core i5-1240P/Iris Xe Graphics eligible/メモリ 32GB/SSD 512GB/Windows 11 Pro],"￥119,800"
レノボ･ジャパン Lenovo,90VH004LJP [ゲーミングデスクトップパソコン/LOQ Tower 17IRB8/Core i5-13400F/GeForce GTX 1660 SUPER/メモリ 16GB/SSD 512GB/Windows 11 Home/Office Home ＆ Business2021/ブラック],"￥179,300"
ガレリア GALLERIA,RR536-1100-R31 [ゲーミングデスクトップパソコン ガレリア/Core i5-13400F/RTX 3060/メモリ 16GB/SSD 500GB/Windows 11 Home],"￥229,980"
ECS イーシーエス,LIVAZ3-8/128-W10IoT（N6000） [小型デスクトップパソコン/Pentium N6000/メモリ 8GB/eMMC 128GB/Windows 10 IoT Enterprise LTSC],"￥69,780"
エイスース ASUS,PN53-S7099AD [超小型ミニパソコン/Ryzen 7 7735H/メモリ 16GB/SSD 256GB/Windows 11 Home/ブラック],"￥125,800"
デル DELL,SI70-DNL [スモールデスクトップ/Inspiron 3020S スモールデスクトップ/Core i7-13700/UHD グラフィックス/メモリ 16GB/SSD 512GB/Windows 11 Home/ブラック],"￥169,800"
ECS イーシーエス,LIVAQ1D-4/64-W10（N3350） IOT [小型デスクトップパソコン Intel Celeron N3350/メモリ 4GB/eMMC 64GB/Windows 10 IoT Enterprise LTSC 64bit/ブラック],"￥47,120"
MSI エムエスアイ,PRO DP180 13SA-026JP [ビジネス向けデスクトップパソコン/Core i5-13400F/メモリ 16GB/SSD 512GB/GeForce GTX 1650/Windows 11 Pro/Office Home ＆ Business 2021],"￥206,800"
ECS イーシーエス,LIVAQ1D-4/64-W10Pro（N3350） [小型デスクトップパソコン Intel Celeron N3350/メモリ 4GB/eMMC 64GB/Windows 10 Pro 64bit/ブラック],"￥30,880"
MSI エムエスアイ,MAGMETA-S-5SI-043JP [ゲーミングデスクトップパソコン/Ryzen 5 5600X/GeForce GTX 1660 SUPER/メモリ 16GB/SSD 512GB/Windows 11 Home],"￥105,340"
エイサー Acer,PO3-650-H76Z/307A [ゲーミングデスクトップ/Predator Orion 3000/Core i7-13700F/GeForce RTX 3070/メモリ 16GB/SSD 1TB/Windows 11 Home/ブラック],"￥338,000"
エイスース ASUS,PN64-S5302AD [超小型ミニパソコン/Core i5-13500H/メモリ 8GB/SSD 256GB/Windows 11 Home/ブラック],"￥118,800"
デル DELL,DX100VR-CHLC [XPS 8950 デスクトップ/ゲーミングデスクトップ/第12世代インテル Core i7 12700K/メモリ16GB DDR5/SSD 512GB+HDD 1TB/Windows 11 Home/NVIDIA GeForce RTX 3060 Ti LHR/プラチナシルバー],"￥279,800"
MSI エムエスアイ,Trident X2 13NUF-065JP [ゲーミングデスクトップパソコン/Core i7-13700KF/メモリ 32GB/SSD 1TB/GeForce RTX 4070 Ti/Windows 11 Home],"￥503,800"
レノボ･ジャパン Lenovo,90V70044JM [ゲーミングデスクトップパソコン/LegionTower 7i Gen8/Corei7-13700KF/GeForce RTX4080/メモリ 32GB/HDD2TB＋SSD2TB/Windows 11 Home/グレー],"￥544,500"
デル DELL,DA90-DNLCW [ゲーミングデスクトップPC/Alienware Aurora R15/Core i7-13700KF/GeForce RTX 3070 LHR/メモリ 32GB/SSD 1TB＋HDD 2TB/Windows 11 Home/ルナライト（シルバーホワイト）],"￥439,800"
レノボ･ジャパン Lenovo,90SM0060JP [デスクトップPC/ IdeaCentre 370i/ Pentium Gold G7400/HDD 1TB/メモリ 4GB/Windows 11 Home /グレー],"￥82,280"
マウスコンピューター mouse computer,DAIVZPCM127G307P22H [クリエイター向けデスクトップパソコン/Core i7/メモリ 16GB/SSD SSD 1TB（NVMe）/HDD 2TB/GeForce RTX 3070/DVDスーパーマルチドライブ/Windows11 Pro],"￥348,000"
MSI エムエスアイ,Trident X2 13NUI-028JP [ウルトラハイエンドゲーミングデスクトップパソコン/Core i9-13900KF/メモリ 32GB/SSD 2TB/GeForce RTX 4090/Windows 11 Pro/2年保証/数量限定],"￥954,800"
ECS イーシーエス,LIVAZ3-8/64-W11Pro（N5100） [小型デスクトップパソコン/Celeron Processor N5100/メモリ 8GB/eMMC 64GB/Windows 11 Pro],"￥56,170"
MSI エムエスアイ,Trident 3 13TC-064JP [コンパクトゲーミングデスクトップパソコン/Core i7-13700F/メモリ 16GB/SSD 1TB/GeForce RTX 3060/Windows 11 Home],"￥252,780"
ガレリア GALLERIA,XR748-1100-R31 [ゲーミングデスクトップパソコン ガレリア/Core i7-13700F/RTX 4080/メモリ 16GB/SSD 1TB/Windows 11 Home],"￥469,980"
レノボ･ジャパン Lenovo,90T100BMJP [ゲーミングデスクトップPC/IdeaCentre Gaming 570i/ Core i7/GeForceRTX 3060（LHR）/SSD 1TB/メモリ 16GB/Windows 11 Home/Microsoft Office Home ＆ Business 2021/ブラック],"￥250,800"
デル DELL,DA90-CWLCB [ゲーミングデスクトップ/Alienware Aurora R13/Core i7-12700KF/メモリ 32GB/SSD 512GB＋HDD 2TB/Windows 11 Home/ダークグレー],"￥439,800"
ガレリア GALLERIA,RR536T-1500-YC31-740 [ゲーミングデスクトップパソコン/ガレリア/Core i5-13400F/GTX 1660SUPER/メモリ 16GB/SSD 500GB/Windows 11 Home],"￥247,980"
デル DELL,AI557-DNHBWC [一体型デスクトップ/Inspiron 24 5420 オールインワン/23.8型/Core i5-1335U/UHD グラフィックス/メモリ 8GB/SSD 512GB/Windows 11 Home/Office Home ＆ Business 2021/パールホワイト],"￥179,800"
デル DELL,AI577T-DNHBWC [一体型デスクトップ/Inspiron 24 5420 オールインワン/23.8型/Core i7-1355U/Iris Xe グラフィックス/メモリ 16GB/SSD 512GB/Windows 11 Home/Office Home ＆ Business 2021/パールホワイト],"￥215,800"
デル DELL,AI779T-DNHBBC [一体型デスクトップ/Inspiron 27 7720 オールインワン/27.0型/Core i7-1355U/Iris Xe グラフィックス/メモリ 16GB/SSD 512GB＋HDD 1TB/Windows 11 Home/Office Home ＆ Business 2021/ダークシャドウグレー],"￥245,800"
エイスース ASUS,G15DK-R75G1660TW11 [ゲーミングデスクトップパソコン ROG Strix GA15 （G15DK）/Ryzen 7 5800X/GTX 1660 Ti/メモリ 16GB/SSD 512GB/Windows 11 Home/ブラック],"￥159,800"
デル DELL,SI60-DNL [スモールデスクトップ/Inspiron 3020S スモールデスクトップ/Core i5-13400/UHD グラフィックス/メモリ 16GB/SSD 512GB/Windows 11 Home/ブラック],"￥134,800"
デル DELL,AI537-DNHBBC [一体型デスクトップ/Inspiron 24 5420 オールインワン/23.8型/Core i3-1315U/UHD グラフィックス/メモリ 8GB/SSD 512GB/Windows 11 Home/Office Home ＆ Business 2021/ダークシャドウグレー],"￥159,800"
デル DELL,AI557-DNLBC [一体型デスクトップ/Inspiron 24 5420 オールインワン/23.8型/Core i5-1335U/UHD グラフィックス/メモリ 8GB/SSD 512GB/Windows 11 Home/ダークシャドウグレー],"￥157,800"
デル DELL,SI50-DNL [スモールデスクトップ/Inspiron 3020S スモールデスクトップ/Core i5-13400/UHD グラフィックス/メモリ 8GB/SSD 512GB/Windows 11 Home/ブラック],"￥121,800"
レノボ･ジャパン Lenovo,90T100BLJP [ゲーミングデスクトップPC/IdeaCentre Gaming 570i/ Core i5/GeForce GTX 1660 SUPER/ SSD 512GB/メモリ 8GB/Windows 11 Home /Microsoft Office Home ＆ Business 2021/ブラック],"￥155,330"
マウスコンピューター mouse computer,GTSPCMI124G305P22H [スリムゲーミングデスクトップパソコン/Core i5/メモリ 16GB/SSD 1TB （NVMe）/HDD 1TB/GeForce RTX 3050/DVDスーパーマルチドライブ/Windows11 Pro],"￥269,800"
ガレリア GALLERIA,RR536T-1500-YC31-1 [ゲーミングデスクトップパソコン/ガレリア/Core i5-13400F/RTX 3060Ti/メモリ 16GB/SSD 500GB/Windows 11 Home],"￥269,980"
マウスコンピューター mouse computer,DAIVZPCM127G305P22H [クリエイター向けデスクトップパソコン/Core i7/メモリ 16GB/SSD 512GB（NVMe）/HDD 2TB/GeForce RTX 3050/DVDスーパーマルチドライブ/Windows11 Pro],"￥298,000"
ガレリア GALLERIA,ZR9K49-1100-YC31-307 [ゲーミングデスクトップパソコン/ガレリア/Core i9-13900KF/RTX 4080/メモリ 16GB/SSD 1TB/Windows 11 Home],"￥724,980"
アイ･オー･データ機器 I-O DATA,MPC-LVZ3PA [小型パソコン/Core i3-10110U/メモリ8GB/SSD 256GB/Windows 10 IoT Enterprise],"￥113,300"
マウスコンピューター mouse computer,GTSPCMI127G306P22H [スリムゲーミングデスクトップパソコン/Core i7/メモリ 16GB/SSD 1TB （NVMe）/HDD 1TB/GeForce RTX 3060/DVDスーパーマルチドライブ/Windows11 Pro],"￥329,800"
ガレリア GALLERIA,ZR7K47T-1100-YC31-1 [ゲーミングデスクトップパソコン/ガレリア/Core i7-13700KF/RTX 4070Ti/メモリ 16GB/SSD 1TB/Windows 11 Home],"￥549,980"
ガレリア GALLERIA,ZR7K47T-1100-YC31-1335 [ゲーミングデスクトップパソコン/ガレリア/Core i7-13700KF/RTX 3060Ti/メモリ 16GB/SSD 1TB/Windows 11 Home],"￥494,980"
マウスコンピューター mouse computer,GTMPCM127G307P22H [ゲーミングデスクトップパソコン/Core i7/メモリ 16GB/SSD 1TB （NVMe）/HDD 4TB/GeForce RTX 3070/DVDスーパーマルチドライブ/Windows11 Pro],"￥389,800"
MSI エムエスアイ,PRO DP180 13TC-025JP [ビジネス向けデスクトップパソコン/Core i7-13700F/メモリ 16GB/SSD 1TB/GeForce RTX 3060/Windows 11 Pro/Office Home ＆ Business 2021],"￥294,800"
ECS イーシーエス,LIVAZ3-4/64-W11Pro（N5100） [小型デスクトップパソコン/Celeron Processor N5100/メモリ 4GB/eMMC 64GB/Windows 11 Pro],"￥51,780"
,【まとめ買い割引】デスクトップパソコン＋セキュリティソフトセット [ミニズフォーラム MINISFORUM N40-4/64-W10Pro（N4020） 小型デスクトップパソコン/CPU：Intel Celeron Processor N4020/メモリ：4GB/ストレージ：eMMC 64GB＋ウイルスバスター クラウド 3年版],"￥41,860"
ECS イーシーエス,LIVAZ3-4/64-W11Pro（N4500） [小型デスクトップパソコン/Celeron N4500/メモリ 4GB/eMMC 64GB/Windows 11 Pro],"￥50,560"
ミニズフォーラム MINISFORUM,NPB5-16/512-W11Pro（13500H） [ミニパソコン/Core i5-13500H/メモリ 16GB/SSD 512GB/Windows 11 Pro/シルバー],"￥107,780"
NEC エヌイーシー,PC-A2355GAB [デスクトップパソコン LAVIE/23.8型Full HD/AMD Ryzen5 7530U/メモリ 8GB/SSD 512GB/DVD/Windows 11 Home/Office Home ＆ Business 2021/ファインブラック],"￥214,280"
デル DELL,AI759-DNLWC [一体型デスクトップ/Inspiron 27 7720 オールインワン/27.0型/Core i5-1335U/UHD グラフィックス/メモリ 8GB/SSD 512GB/Windows 11 Home/パールホワイト],"￥164,800"
デル DELL,AI537-DNLWC [一体型デスクトップ/Inspiron 24 5420 オールインワン/23.8型/Core i3-1315U/UHD グラフィックス/メモリ 8GB/SSD 512GB/Windows 11 Home/パールホワイト],"￥137,000"
デル DELL,AI577T-DNLBC [一体型デスクトップ/Inspiron 24 5420 オールインワン/23.8型/Core i7-1355U/Iris Xe グラフィックス/メモリ 16GB/SSD 512GB/Windows 11 Home/ダークシャドウグレー],"￥193,800"
デル DELL,AI537-DNLBC [一体型デスクトップ/Inspiron 24 5420 オールインワン/23.8型/Core i3-1315U/UHD グラフィックス/メモリ 8GB/SSD 512GB/Windows 11 Home/ダークシャドウグレー],"￥137,000"
デル DELL,AI567T-DNLWC [一体型デスクトップ/Inspiron 24 5420 オールインワン/23.8型/Core i5-1335U/Iris Xe グラフィックス/メモリ 16GB/SSD 512GB/Windows 11 Home/パールホワイト],"￥175,800"
デル DELL,AI567T-DNLBC [一体型デスクトップ/Inspiron 24 5420 オールインワン/23.8型/Core i5-1335U/Iris Xe グラフィックス/メモリ 16GB/SSD 512GB/Windows 11 Home/ダークシャドウグレー],"￥175,800"
エイサー Acer,PO5-650-H73Z/407T [ゲーミングデスクトップPC/Predator Orion 5000/Core i7-13700F/GeForce RTX 4070 Ti/メモリ 32GB/SSD 1TB/Windows 11 Home],"￥468,000"
デル DELL,AI577T-DNLWC [一体型デスクトップ/Inspiron 24 5420 オールインワン/23.8型/Core i7-1355U/Iris Xe グラフィックス/メモリ 16GB/SSD 512GB/Windows 11 Home/パールホワイト],"￥193,800"
エイサー Acer,PO5-650-H73Z/408 [ゲーミングデスクトップPC/Predator Orion 5000/Core i7-13700F/GeForce RTX 4080/メモリ 32GB/SSD 1TB/Windows 11 Home],"￥548,000"
エイサー Acer,PO3-650-H76Y/306A [ゲーミングデスクトップ/Predator Orion 3000/Core i7-13700F/GeForce RTX 3060/メモリ 16GB/SSD 512GB/Windows 11 Home/ブラック],"￥288,000"
エイスース ASUS,PN53-S5097AD [超小型ミニパソコン/Ryzen 5 7535H/メモリ 8GB/SSD 256GB/Windows 11 Home/ブラック],"￥105,800"
,ミニズフォーラム TH60-16/512-W11Pro（11400H） 小型デスクトップパソコン 厳選バラエティセット,"￥76,190"
,デル FI537-CHHBBC Inspiron 24 5410 フレームレス デスクトップ/ダークシャドウグレー 厳選バラエティセット,"￥126,800"
デル DELL,AI567T-DNHBBC [一体型デスクトップ/Inspiron 24 5420 オールインワン/23.8型/Core i5-1335U/Iris Xe グラフィックス/メモリ 16GB/SSD 512GB/Windows 11 Home/Office Home ＆ Business 2021/ダークシャドウグレー],"￥197,800"
ECS イーシーエス,LIVAQ3P-4/64-W10Pro（R1505G） [小型デスクトップパソコン/Ryzen Embedded R1505G/メモリ 4GB/eMMC 64GB/Windows 10 Pro],"￥66,480"
ECS イーシーエス,LIVAZ3-4/64-W10IoT（N4500） [小型デスクトップパソコン/Celeron N4500/メモリ 4GB/eMMC 64GB/Windows 10 IoT Enterprise LTSC],"￥56,890"
MSI エムエスアイ,Trident X2 13NUG-029JP [ハイエンドゲーミングデスクトップパソコン/Core i7-13700KF/メモリ 32GB/SSD 1TB/GeForce RTX 4080/Windows 11 Pro/2年保証/数量限定],"￥767,800"
ECS イーシーエス,LIVAZ-4/64-W10（N3350） IOT [小型デスクトップパソコン/Celeron/メモリ 4GB/eMMC 64GB/Windows 10 IOT],"￥48,390"
,ECS LIVAQ3P-4/64-W10Pro（R1505G） 小型デスクトップパソコン 厳選バラエティセット,"￥61,480"
,ECS LIVAQ3P-8/128-W10Pro（V1605B） 小型デスクトップパソコン 厳選バラエティセット,"￥83,680"
,ECS LIVAZ3-8/128-W11Pro（N6000） 小型デスクトップパソコン 厳選バラエティセット,"￥60,340"
,ミニズフォーラム UM690-16/512-W11Pro（6900HX） 小型デスクトップパソコン 厳選バラエティセット,"￥120,480"
,デル FI779T-CHHBBC Inspiron 27 7710 フレームレス デスクトップ/ダークシャドウグレー 厳選バラエティセット,"￥214,550"
,デル FI577T-CHHBWC Inspiron 24 5410 フレームレス デスクトップ/パールホワイト 厳選バラエティセット,"￥176,800"
,デル FI577T-CHHBBC Inspiron 24 5410 フレームレス デスクトップ/ダークシャドウグレー 厳選バラエティセット,"￥176,800"
,デル FI537-CHHBWC Inspiron 24 5410 フレームレス デスクトップ/パールホワイト 厳選バラエティセット,"￥126,800"
